0,1,2,3,4,5,6,7,8,9,SourceFile,TableIndex,10,11,12
ANCIPA,TROINA,"30,40","15,86","18,83","-2,97","13,07",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-08_0.pdf,0,,,
ANCIPA,TROINA,"30,40","12,26","15,86","-3,60","10,81",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-09_0.pdf,0,,,
ANCIPA,TROINA,"30,40","15,67","15,73","-0,06","22,29",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-03_0.pdf,0,,,
ANCIPA,TROINA,"30,40","20,81","15,67","5,14","19,19",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-04_0.pdf,0,,,
ANCIPA,TROINA,"30,40","18,83","20,55","-1,72","15,20",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-07%20%281%29_0.pdf,0,,,
ANCIPA,TROINA,"30,40","10,26","12,26","-2,00","8,86",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2020-10_0.pdf,0,,,
ANCIPA,TROINA,"30,40","22,29","23,79","-1,50","18,10",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-03.pdf,0,,,
ANCIPA,TROINA,"30,40","19,19","22,29","-3,10","22,75",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-04.pdf,0,,,
ANCIPA,TROINA,"30,40","8,86","10,81","-1,95","10,96",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-10.pdf,0,,,
ANCIPA,TROINA,"30,40","6,91","8,86","-1,95","9,27",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-11.pdf,0,,,
ANCIPA,TROINA,"30,40","20,16","13,20","6,96","6,82",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-01.pdf,0,,,
ANCIPA,TROINA,"30,40","13,07","15,20","-2,13","15,88",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-08.pdf,0,,,
ANCIPA,TROINA,"30,40","17,18","16,46","0,72","22,38",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-06.pdf,0,,,
ANCIPA,TROINA,"30,40","9,83","6,91","2,92","13,20",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-12.pdf,0,,,
ANCIPA,TROINA,"30,40","10,81","13,07","-2,26","12,87",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-09.pdf,0,,,
ANCIPA,TROINA,"30,40","16,46","19,19","-2,73","22,77",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-05.pdf,0,,,
ANCIPA,TROINA,"30,40","23,79","20,16","3,63","9,39",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-02.pdf,0,,,
ANCIPA,TROINA,"30,40","15,20","17,18","-1,98","23,97",IRR. - POT. - ELETTR.,E.N.E.L.,,inv_2019-07.pdf,0,,,
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"946,65","24.022.651,51","22.022.651,51",2025-07-5-Volume%20Giornaliero%20Potabile.pdf,0,(**),"+ 0,0%","0,00"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"949,42","26.988.446,19","24.988.446,19",2025-04-4-Volume%20Giornaliero%20Potabile.pdf,0,,"+ 0,0%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"940,59","17.579.730,40","15.579.730,40",2025-08-28-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-61.932,89"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,18","25.660.798,03","23.660.798,03",2025-03-13-Volume%20Giornaliero%20potabile.pdf,0,,"+ 0,1%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"948,68","26.196.140,03","24.196.140,03",2025-03-28-Volume%20Giornaliero.pdf,0,,"+ 1,3%",
1,ANCIPA,ENEL,"939,00","30.410.000,00","941,64","18.674.234,89","16.674.234,89",,,2025-01-28-Volume%20Giornaliero%20potabile.pdf,0,,,
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,41","24.836.371,35","22.836.371,35",2025-06-14-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-53.534,20"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"940,45","17.435.625,90","15.435.625,90",2025-09-4-Volume%20Giornaliero%20Potabile.pdf,0,(**),"+ 0,0%","0,00"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,41","24.836.371,35","22.836.371,35",2025-05-15-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,1%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"946,86","24.247.495,15","22.247.495,15",2025-02-17-Volume%20Giornaliero%20potabile.pdf,0,,"+ 0,8%",
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,70","25.146.869,71","23.146.869,71",2025-06-03-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,5%","-149.895,76"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,38","24.804.250,83","22.804.250,83",2025-06-21-Volume%20Giornaliero%20Potabile.pdf,0,(*),"+ 0,0%","0,00"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"947,63","25.071.921,83","23.071.921,83",2025-06-08-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,2%","-53.534,17"
1,ANCIPA,ENEL,"30.410.000,00","950,00","30.410.000,00",n.d.,"940,52","17.507.615,50","15.507.615,50",2025-08-30-Volume%20Giornaliero%20Potabile.pdf,0,,"- 0,0%","-10.302,10"
